title,rating,body,title_length,body_length,word_count,sentiment,full_review,clean_body,clean_word_count
"Sir, I am really sorry however, M12 supports only 802.11 b/g/n 2.4GHz.",2,"""Sir, I am really sorry however, M12 supports 802.11 b/g/n 2.4GHz.""- This is the response from Samsung customer service when I inquired why not able to detect to my Router 5G. Even 6K Chinese mobiles have 5G detection - so before you buy think and check as the mobile has very limited features. The battery life is not great while it is 6000.... and camera is very normal standard. The mobile as a whole is a big compromise to the cost and is not a value for money product.",70,473,89,Negative,"Sir, I am really sorry however, M12 supports only 802.11 b/g/n 2.4GHz. ""Sir, I am really sorry however, M12 supports 802.11 b/g/n 2.4GHz.""- This is the response from Samsung customer service when I inquired why not able to detect to my Router 5G. Even 6K Chinese mobiles have 5G detection - so before you buy think and check as the mobile has very limited features. The battery life is not great while it is 6000.... and camera is very normal standard. The mobile as a whole is a big compromise to the cost and is not a value for money product.",sir really sorry however supports bgn ghz sir really sorry however supports bgn ghz response samsung customer service inquired not able detect router g even k chinese mobiles g detection buy think check mobile very limited features battery life not great camera very normal standard mobile whole big compromise cost not value money product,54
Overall good product..,4,"Pros :6 gb ram128 gb storagePlus 48 mp back cameraHuge 6000mah batteryLooks are pretty good as wellFingerprint sensor is on the sideCons :Front camera is horribleScreen is not upto the markDue 6k mah battery it is little bit heavyOnly 15 watt chargerNo slow mo or other features in cameraConclusion:If you use it for general use, storage, binge watching it is a great phone but if u are gamer, photo addict, looks then it's not worth it.Although great phone by Samsung in this price range.",22,489,84,Positive,"Overall good product.. Pros :6 gb ram128 gb storagePlus 48 mp back cameraHuge 6000mah batteryLooks are pretty good as wellFingerprint sensor is on the sideCons :Front camera is horribleScreen is not upto the markDue 6k mah battery it is little bit heavyOnly 15 watt chargerNo slow mo or other features in cameraConclusion:If you use it for general use, storage, binge watching it is a great phone but if u are gamer, photo addict, looks then it's not worth it.Although great phone by Samsung in this price range.",overall good product pros gb ram gb storageplus mp back camerahuge mah batterylooks pretty good wellfingerprint sensor sidecons front camera horriblescreen not upto markdue k mah battery little bit heavyonly watt chargerno slow mo features cameraconclusionif use general use storage binge watching great phone u gamer photo addict looks not worth italthough great phone samsung price range,57
Worst product from Samsung,2,"I bought this phone for reputed brand, 128GB memory, 6 GB RAM.But my bad nothing is working :- It buffers every 5 seconds in each and every audio, video including downloaded videos/audios.- Does not have 5GHz wifi singal acceptance. It shows only 12 Mbps for a 200Mbps fiber comnection for 2.4GHz wifi signal.- Mobile voice network is always low. Voice break always happens, where as all my other mobile works fone.- All applications are very slow and crashes. (Faulty software even after updates).- Sound system including ring tone is very low.- Hotspot goes off multiple times without any reason.- Battery backup 12-14 hours and takes too long to charge- No support from Samsung (Closed 3 tickets without responding)Please don't buy, you will waste yor money.",26,761,125,Negative,"Worst product from Samsung I bought this phone for reputed brand, 128GB memory, 6 GB RAM.But my bad nothing is working :- It buffers every 5 seconds in each and every audio, video including downloaded videos/audios.- Does not have 5GHz wifi singal acceptance. It shows only 12 Mbps for a 200Mbps fiber comnection for 2.4GHz wifi signal.- Mobile voice network is always low. Voice break always happens, where as all my other mobile works fone.- All applications are very slow and crashes. (Faulty software even after updates).- Sound system including ring tone is very low.- Hotspot goes off multiple times without any reason.- Battery backup 12-14 hours and takes too long to charge- No support from Samsung (Closed 3 tickets without responding)Please don't buy, you will waste yor money.",worst product samsung bought phone reputed brand gb memory gb rambut bad nothing working buffers every seconds every audio video including downloaded videosaudios not ghz wifi singal acceptance shows mbps mbps fiber comnection ghz wifi signal mobile voice network always low voice break always happens mobile works fone applications very slow crashes faulty software even updates sound system including ring tone very low hotspot goes multiple times without reason battery backup hours takes too long charge no support samsung closed tickets without respondingplease dont buy waste yor money,88
wifi doesn't support 5ghz WIFI band,2,"Very disappointed, single band wifi doesn't support 5ghz WIFI band. My 5years old Lenovo k4 note mobile able to connect 5g wifi.  Future is 5g. But this mobile not even supports to connect 5g wifi network",35,204,36,Negative,"wifi doesn't support 5ghz WIFI band Very disappointed, single band wifi doesn't support 5ghz WIFI band. My 5years old Lenovo k4 note mobile able to connect 5g wifi.  Future is 5g. But this mobile not even supports to connect 5g wifi network",wifi doesnt support ghz wifi band very disappointed single band wifi doesnt support ghz wifi band years old lenovo k note mobile able connect g wifi future g mobile not even supports connect g wifi network,36
Not worth the money spent.,1,"I bought Samsung Galaxy M12. Initially, the mobile worked good but for the past 3-4 days the mobile is geting heats up even without using and while charging it hets heats up.Since this mobile carried 1 year warranty for manufacturing device and 6 months warranty for in-box accesories including battery.I request Amazon or Samsung(manifacturer) to replace the said mobile at the earliest.",26,388,62,Negative,"Not worth the money spent. I bought Samsung Galaxy M12. Initially, the mobile worked good but for the past 3-4 days the mobile is geting heats up even without using and while charging it hets heats up.Since this mobile carried 1 year warranty for manufacturing device and 6 months warranty for in-box accesories including battery.I request Amazon or Samsung(manifacturer) to replace the said mobile at the earliest.",not worth money spent bought samsung galaxy initially mobile worked good past days mobile geting heats even without using charging hets heats upsince mobile carried year warranty manufacturing device months warranty inbox accesories including batteryi request amazon samsungmanifacturer replace said mobile earliest,42
Blown away by M12 impressively,5,"The media could not be loaded.
                




   Battery life has just blown me away impressively... A great screen and a good processor... I play heavy games on it. I'm just loving it so much. 90 herts refresh rate at this price... Feels even better than my one plus 7 pro and I feel no difference between this and my s21 ultra",30,334,60,Positive,"Blown away by M12 impressively The media could not be loaded.
                




   Battery life has just blown me away impressively... A great screen and a good processor... I play heavy games on it. I'm just loving it so much. 90 herts refresh rate at this price... Feels even better than my one plus 7 pro and I feel no difference between this and my s21 ultra",blown away impressively media could not loaded battery life blown away impressively great screen good processor play heavy games im loving much herts refresh rate price feels even better one plus pro feel no difference ultra,36
Average Phone,3,Cons-Camera is average.Display dosent feel as smooth as 90 hertz it feels just like normal display.Battery life is ok but not as per 6000 mah only last 1.5 days with moderate usage.Also samsung does not provide any back cover with this mobile so if u buy this mobile do purchase a backcover.Pros-Customisation of samsung is good...lot of themes to change the look of your mobile screen.Buit quality is ok.Sound quality is good.Fingerprint reader is fast.Don't trust Youtubers who are just marketing this mobile for sake of money....These people are biggest frauds.,13,564,91,Neutral,Average Phone Cons-Camera is average.Display dosent feel as smooth as 90 hertz it feels just like normal display.Battery life is ok but not as per 6000 mah only last 1.5 days with moderate usage.Also samsung does not provide any back cover with this mobile so if u buy this mobile do purchase a backcover.Pros-Customisation of samsung is good...lot of themes to change the look of your mobile screen.Buit quality is ok.Sound quality is good.Fingerprint reader is fast.Don't trust Youtubers who are just marketing this mobile for sake of money....These people are biggest frauds.,average phone conscamera averagedisplay dosent feel smooth hertz feels like normal displaybattery life ok not per mah last days moderate usagealso samsung not provide back cover mobile u buy mobile purchase backcoverproscustomisation samsung goodlot themes change look mobile screenbuit quality oksound quality goodfingerprint reader fastdont trust youtubers marketing mobile sake moneythese people biggest frauds,54
Budget sized Beast!,5,Absolute delight for a budget smartphone! Just ordered it yesterday and got it today within 24 hours. It has it all 6gb RAM 128gb memory. Further two sim slots and a dedicated mem card slot. It's got a 3.5mm headphone jack as well. Also it's got it's own 15w fast charger in box. That is amazing! It's MRP is 15499rs but was in sale in Amazon for 12499rs. A further 10% discount on SBI credit card so deducting 1249rs and another discount on EMI deducted another 440rs and finally got this beast of a phone for just 10803rs! Now isn't that something. Really happy with the purchase as it's for my dad. He too had something to smile about amid this deadly pandamic. Thank u Samsung and thank u Amazon!,19,700,130,Positive,Budget sized Beast! Absolute delight for a budget smartphone! Just ordered it yesterday and got it today within 24 hours. It has it all 6gb RAM 128gb memory. Further two sim slots and a dedicated mem card slot. It's got a 3.5mm headphone jack as well. Also it's got it's own 15w fast charger in box. That is amazing! It's MRP is 15499rs but was in sale in Amazon for 12499rs. A further 10% discount on SBI credit card so deducting 1249rs and another discount on EMI deducted another 440rs and finally got this beast of a phone for just 10803rs! Now isn't that something. Really happy with the purchase as it's for my dad. He too had something to smile about amid this deadly pandamic. Thank u Samsung and thank u Amazon!,budget sized beast absolute delight budget smartphone ordered yesterday got today within hours gb ram gb memory two sim slots dedicated mem card slot got mm headphone jack well also got w fast charger box amazing mrp rs sale amazon rs discount sbi credit card deducting rs another discount emi deducted another rs finally got beast phone rs isnt something really happy purchase dad too something smile amid deadly pandamic thank u samsung thank u amazon,76
Best Budget phone in last few years and it’s so smooth,4,"No need to underestimate exynos 850, with 90Hz refresh rate.it’s not disappointed me. I bought it as second phone(I use iPhone SE 2020).With normal use more then 48hrs still 44% battery leftFingerprint sensor is unbelievable it’s so quickCamera is decent enough to capture picturesDisplay Quality is GoodOverall I felt good for buying it for 9999/- with ICICI credit card offer.It’s worth buying, it’s far better than other MI with same price (10999-12999 in 4GB -64GB ) as Samsung don’t irritate with adds and also more secured",54,528,86,Positive,"Best Budget phone in last few years and it’s so smooth No need to underestimate exynos 850, with 90Hz refresh rate.it’s not disappointed me. I bought it as second phone(I use iPhone SE 2020).With normal use more then 48hrs still 44% battery leftFingerprint sensor is unbelievable it’s so quickCamera is decent enough to capture picturesDisplay Quality is GoodOverall I felt good for buying it for 9999/- with ICICI credit card offer.It’s worth buying, it’s far better than other MI with same price (10999-12999 in 4GB -64GB ) as Samsung don’t irritate with adds and also more secured",best budget phone last years smooth no need underestimate exynos hz refresh rateits not disappointed bought second phonei use iphone se normal use hrs still battery leftfingerprint sensor unbelievable quickcamera decent enough capture picturesdisplay quality goodoverall felt good buying icici credit card offerits worth buying far better mi price gb gb samsung dont irritate adds also secured,57
Highly disappointed,1,"I got this M12 (4 / 64 gb and 6000 battery) as an upgrade to the M01 Core (1 / 16 gb and 3000 battery) phone, in the hope that it would be better ... BUT:1.  battery despite being double the size does not last any longer ..... 50-60% after only1 day of light use (I dont do any social stuff, only 3-5 talks and 1-3 messages per day);2. the ringtone and message notification choice is very poor .... had to import from the old phone;3. could not download ringtones directly to phone, but this may well be more of a problem related with Google;4. software is not friendly, even after 1 full day of struggle, have not been able to locate / access storage card;5. was very happy with the 1 / 16 gb in my earlier phone and never had memory usage beyond about 60%, but this guy eats up more than 2 gb out of the 4 gb RAM even to start with even after i have uninstalled most of the ""apps"";6. one of the reasons of purchasing this was for its USB teethering, which works fine.Bring back the good old button phones (with proper software as 15 years back, and with some improvement in screen / pixels) and get rid of the bloatware.Think.",19,1128,217,Negative,"Highly disappointed I got this M12 (4 / 64 gb and 6000 battery) as an upgrade to the M01 Core (1 / 16 gb and 3000 battery) phone, in the hope that it would be better ... BUT:1.  battery despite being double the size does not last any longer ..... 50-60% after only1 day of light use (I dont do any social stuff, only 3-5 talks and 1-3 messages per day);2. the ringtone and message notification choice is very poor .... had to import from the old phone;3. could not download ringtones directly to phone, but this may well be more of a problem related with Google;4. software is not friendly, even after 1 full day of struggle, have not been able to locate / access storage card;5. was very happy with the 1 / 16 gb in my earlier phone and never had memory usage beyond about 60%, but this guy eats up more than 2 gb out of the 4 gb RAM even to start with even after i have uninstalled most of the ""apps"";6. one of the reasons of purchasing this was for its USB teethering, which works fine.Bring back the good old button phones (with proper software as 15 years back, and with some improvement in screen / pixels) and get rid of the bloatware.Think.",highly disappointed got gb battery upgrade core gb battery phone hope would better battery despite double size not last longer day light use dont social stuff talks messages per day ringtone message notification choice very poor import old phone could not download ringtones directly phone may well problem related google software not friendly even full day struggle not able locate access storage card very happy gb earlier phone never memory usage beyond guy eats gb gb ram even start even uninstalled apps one reasons purchasing usb teethering works finebring back good old button phones proper software years back improvement screen pixels get rid bloatwarethink,104
Budgetary Phone for Frequent Callers,3,"Look, feel and finish of the phone is good and up to the standards of Samsung. I am a frequent traveller and caller so was looking for a budgetary phone which has most of the features along with good battery backup. This meets my requirement.Pros:- Fit and finish is very good- Good battery backup- Performance is good with fast response- Storage and ram is sufficient as I opted for 6 GB RAM and 128 GB storage variant- Responsive finger printing sensor- Loud and clear sound with and without speaker for calls- Clear voice callingCons:- Heavy weight makes it difficult to hold and use- The screen is HD only. Not even FHD but supports 1080 p video viewing- 4 K videos will never play in 4 K mode. Only can be played in 1080 p resolution- No gyroscope and magnetometer sensor which means, compass application and some games which use these sensors will never work- No Corning Gorilla class. Screen is prone to scratches without cover- Sound is below average for music listeners- Double tap doesn’t work to wake up the screenConclusion:Only go for this if you are using for phone calls with good battery backup. Not worth for entertainment purpose. I can still survive on this as I have an iPad for entertainment. Samsung is marketing it in such a way where none of the sensors specifications and entertainment features are mentioned clearly on the website as it is not having any of them. It’s a true calling phone !",36,1417,250,Neutral,"Budgetary Phone for Frequent Callers Look, feel and finish of the phone is good and up to the standards of Samsung. I am a frequent traveller and caller so was looking for a budgetary phone which has most of the features along with good battery backup. This meets my requirement.Pros:- Fit and finish is very good- Good battery backup- Performance is good with fast response- Storage and ram is sufficient as I opted for 6 GB RAM and 128 GB storage variant- Responsive finger printing sensor- Loud and clear sound with and without speaker for calls- Clear voice callingCons:- Heavy weight makes it difficult to hold and use- The screen is HD only. Not even FHD but supports 1080 p video viewing- 4 K videos will never play in 4 K mode. Only can be played in 1080 p resolution- No gyroscope and magnetometer sensor which means, compass application and some games which use these sensors will never work- No Corning Gorilla class. Screen is prone to scratches without cover- Sound is below average for music listeners- Double tap doesn’t work to wake up the screenConclusion:Only go for this if you are using for phone calls with good battery backup. Not worth for entertainment purpose. I can still survive on this as I have an iPad for entertainment. Samsung is marketing it in such a way where none of the sensors specifications and entertainment features are mentioned clearly on the website as it is not having any of them. It’s a true calling phone !",budgetary phone frequent callers look feel finish phone good standards samsung frequent traveller caller looking budgetary phone features along good battery backup meets requirementpros fit finish very good good battery backup performance good fast response storage ram sufficient opted gb ram gb storage variant responsive finger printing sensor loud clear sound without speaker calls clear voice callingcons heavy weight makes difficult hold use screen hd not even fhd supports p video viewing k videos never play k mode played p resolution no gyroscope magnetometer sensor means compass application games use sensors never work no corning gorilla class screen prone scratches without cover sound average music listeners double tap doesnt work wake screenconclusiononly go using phone calls good battery backup not worth entertainment purpose still survive ipad entertainment samsung marketing way none sensors specifications entertainment features mentioned clearly website not true calling phone,142
Good Budget phone,5,"I gifted my mom this phone in November 2021 and got a better discount for 64GB. Overall it is good, even i feel the size is big but its not that broad while holding it in your hands. Screen quality is good, Camera performs really well in daylight, in low light it suffers a bit and pictures are not that clear and color is also not that accurate. Battery is very good, it goes for more than a day and half (As usage is off-course not that much) but considering the price i believe this is a good choice, Samsung has some bloat ware which you can avoid by unchecking the boxes while setting up at the first time, or delete the apps after your first setup. Rest no major complaints, charger is not turbo charge but it does it work as expected. Thx",17,745,144,Positive,"Good Budget phone I gifted my mom this phone in November 2021 and got a better discount for 64GB. Overall it is good, even i feel the size is big but its not that broad while holding it in your hands. Screen quality is good, Camera performs really well in daylight, in low light it suffers a bit and pictures are not that clear and color is also not that accurate. Battery is very good, it goes for more than a day and half (As usage is off-course not that much) but considering the price i believe this is a good choice, Samsung has some bloat ware which you can avoid by unchecking the boxes while setting up at the first time, or delete the apps after your first setup. Rest no major complaints, charger is not turbo charge but it does it work as expected. Thx",good budget phone gifted mom phone november got better discount gb overall good even feel size big not broad holding hands screen quality good camera performs really well daylight low light suffers bit pictures not clear color also not accurate battery very good goes day half usage offcourse not much considering price believe good choice samsung bloat ware avoid unchecking boxes setting first time delete apps first setup rest no major complaints charger not turbo charge work expected thx,79
Great mid range Phone !!,5,"This phone is amazing for the price. Phone runs smooth considering it's a Exynos 850 Octa core processor. I like the 90Hz screen and I keep it ON all the time.  The fingerprint recognition is extremely fast and reliable. It has a decent camera, the battery is long lasting. The only deal breaker is that it doesn't support 5GHz Wi-Fi. Android 11 with One UI 3.1 is clean and very responsive and runs smooth without stutter or lag. One can avoid ads and bloatware if you setup the device carefully. I haven't seen a single ad on my device and I have been using it for almost 3 weeks.It's the best budget phone for the features you get. Doesn't look or feel cheap.",24,662,123,Positive,"Great mid range Phone !! This phone is amazing for the price. Phone runs smooth considering it's a Exynos 850 Octa core processor. I like the 90Hz screen and I keep it ON all the time.  The fingerprint recognition is extremely fast and reliable. It has a decent camera, the battery is long lasting. The only deal breaker is that it doesn't support 5GHz Wi-Fi. Android 11 with One UI 3.1 is clean and very responsive and runs smooth without stutter or lag. One can avoid ads and bloatware if you setup the device carefully. I haven't seen a single ad on my device and I have been using it for almost 3 weeks.It's the best budget phone for the features you get. Doesn't look or feel cheap.",great mid range phone phone amazing price phone runs smooth considering exynos octa core processor like hz screen keep time fingerprint recognition extremely fast reliable decent camera battery long lasting deal breaker doesnt support ghz wifi android one ui clean very responsive runs smooth without stutter lag one avoid ads bloatware setup device carefully havent seen single ad device using almost weeksits best budget phone features get doesnt look feel cheap,71
Already opened or used,2,"So far I ve no issues regarding the producr quality and delivery,it was gud...further comenting after using the product for a week or so...but as revealed above in the pictures,I think I ve got a used or already opened product,I mean whenever I ve bought the product from the store,I ve got it well packed and sealed(in a transparent plastic cover)but here....it is without any covering or seal.Thats why our family never likes to buy such stuff from amazon....flipkart is best for electronic items and gazettes",22,511,86,Negative,"Already opened or used So far I ve no issues regarding the producr quality and delivery,it was gud...further comenting after using the product for a week or so...but as revealed above in the pictures,I think I ve got a used or already opened product,I mean whenever I ve bought the product from the store,I ve got it well packed and sealed(in a transparent plastic cover)but here....it is without any covering or seal.Thats why our family never likes to buy such stuff from amazon....flipkart is best for electronic items and gazettes",already opened used far no issues regarding producr quality deliveryit gudfurther comenting using product week sobut revealed picturesi think got used already opened producti mean whenever bought product storei got well packed sealedin transparent plastic coverbut hereit without covering sealthats family never likes buy stuff amazonflipkart best electronic items gazettes,50
Por quality of parts and an overall disappointment,1,"The build feels flimsy and cheap, I got one with a bent display. Unfortunately I never realised this defect until I went to pick up a back case and it wouldn't fit.Back at the Samsung service centre they said it isn't covered under warranty, and I should've returned it at the time of delivery.Camera is nowhere close up 48MP as claimed, pictures clicked with it are mediocre, to say the least.The only saving grace is the decent battery life.It's a good phone to stay away from though",50,485,87,Negative,"Por quality of parts and an overall disappointment The build feels flimsy and cheap, I got one with a bent display. Unfortunately I never realised this defect until I went to pick up a back case and it wouldn't fit.Back at the Samsung service centre they said it isn't covered under warranty, and I should've returned it at the time of delivery.Camera is nowhere close up 48MP as claimed, pictures clicked with it are mediocre, to say the least.The only saving grace is the decent battery life.It's a good phone to stay away from though",por quality parts overall disappointment build feels flimsy cheap got one bent display unfortunately never realised defect went pick back case wouldnt fitback samsung service centre said isnt covered warranty shouldve returned time deliverycamera nowhere close mp claimed pictures clicked mediocre say leastthe saving grace decent battery lifeits good phone stay away though,53
Good device with some major issues.,4,"This phone is mostly suited for multimedia, video, internet, office work.Pros-1. Good battery, 2. Connectivity, 3. Knox Security, 3. Design, 4. Price(because samsung mobiles are costlier), 5. Camera, 6. Durability, 7. Side mounted fingerprint, 8. Quick finger print reading, 9. Display (although it's a tft panel but picture quality is quite impressive), 10. Type c, 11. Fast charge, 12. Ui.Cons-1. Heavy weight, 2. Quiet thicker, 3. Processor (heating issue, sometimes heats up without any reason maybe because of background process), 4. Ui lags, could be more optimized, 5. Display (samsung could have given atleast ips panel), 6. Charger(15w charger is not sufficient for a 6000mah battery) 7. Because of ui and processor the battery service becomes very bad which could be good although.",35,791,123,Positive,"Good device with some major issues. This phone is mostly suited for multimedia, video, internet, office work.Pros-1. Good battery, 2. Connectivity, 3. Knox Security, 3. Design, 4. Price(because samsung mobiles are costlier), 5. Camera, 6. Durability, 7. Side mounted fingerprint, 8. Quick finger print reading, 9. Display (although it's a tft panel but picture quality is quite impressive), 10. Type c, 11. Fast charge, 12. Ui.Cons-1. Heavy weight, 2. Quiet thicker, 3. Processor (heating issue, sometimes heats up without any reason maybe because of background process), 4. Ui lags, could be more optimized, 5. Display (samsung could have given atleast ips panel), 6. Charger(15w charger is not sufficient for a 6000mah battery) 7. Because of ui and processor the battery service becomes very bad which could be good although.",good device major issues phone mostly suited multimedia video internet office workpros good battery connectivity knox security design pricebecause samsung mobiles costlier camera durability side mounted fingerprint quick finger print reading display although tft panel picture quality quite impressive type c fast charge uicons heavy weight quiet thicker processor heating issue sometimes heats without reason maybe background process ui lags could optimized display samsung could given atleast ips panel chargerw charger not sufficient mah battery ui processor battery service becomes very bad could good although,85
"Very nice phone, great value.",5,"I am Samsung user for longest time and despite some negetive reviews, I say best value for money. Only downside are its heavy, but you get use to it and the screen quality. Yes, side by side my other Samsung its a let down, but of its own it's absolutely fine. So, if high quality OLED is must for you then get the one of the other models.Rest no hang issues, does not heat, brilliant battery (as a backup phone on extreme power saver mode it lasted over 5 days!).",29,464,90,Positive,"Very nice phone, great value. I am Samsung user for longest time and despite some negetive reviews, I say best value for money. Only downside are its heavy, but you get use to it and the screen quality. Yes, side by side my other Samsung its a let down, but of its own it's absolutely fine. So, if high quality OLED is must for you then get the one of the other models.Rest no hang issues, does not heat, brilliant battery (as a backup phone on extreme power saver mode it lasted over 5 days!).",very nice phone great value samsung user longest time despite negetive reviews say best value money downside heavy get use screen quality yes side side samsung let absolutely fine high quality oled must get one modelsrest no hang issues not heat brilliant battery backup phone extreme power saver mode lasted days,51
Good budget phone,4,"I got it delivered yesterday. So these are my first impressions after initial setupSize:This is a huge phone. So if you have small hands this phone cannot be used single handed. If you need to use it single handed often, better go for a grippy case with a string or a ring case so it doesn't fall out. Or go for a small phoneSpeed:It is a bit slow, but you can get used to it. For the price range, it seems to have a decent performance.Audio:This phone is advertised as supporting Dolby Atmos but that's only for bluetooth or other audio devices. Not for the phone speaker. Which is kind of a shame. But the audio is not bad.Video/Screen:Blacks are not exactly black. But again, for this price you shouldn't notice those things.Colors are bright***The phone is country locked. So to activate any other country sim you must first use an Indian sim for 5 mins cumulatively.I have not tested the other features like camera, fingerprint sensor etc. Will update as soon as I do",17,972,175,Positive,"Good budget phone I got it delivered yesterday. So these are my first impressions after initial setupSize:This is a huge phone. So if you have small hands this phone cannot be used single handed. If you need to use it single handed often, better go for a grippy case with a string or a ring case so it doesn't fall out. Or go for a small phoneSpeed:It is a bit slow, but you can get used to it. For the price range, it seems to have a decent performance.Audio:This phone is advertised as supporting Dolby Atmos but that's only for bluetooth or other audio devices. Not for the phone speaker. Which is kind of a shame. But the audio is not bad.Video/Screen:Blacks are not exactly black. But again, for this price you shouldn't notice those things.Colors are bright***The phone is country locked. So to activate any other country sim you must first use an Indian sim for 5 mins cumulatively.I have not tested the other features like camera, fingerprint sensor etc. Will update as soon as I do",good budget phone got delivered yesterday first impressions initial setupsizethis huge phone small hands phone cannot used single handed need use single handed often better go grippy case string ring case doesnt fall go small phonespeedit bit slow get used price range seems decent performanceaudiothis phone advertised supporting dolby atmos thats bluetooth audio devices not phone speaker kind shame audio not badvideoscreenblacks not exactly black price shouldnt notice thingscolors brightthe phone country locked activate country sim must first use indian sim mins cumulativelyi not tested features like camera fingerprint sensor etc update soon,93
Do not buy this Adware phone!,1,"This phone comes with a ton of garbage Apps pre Installed. Samsung appears to be partner with IronSource which is a mobile app advertising company and they will keep bugging you to install tons of non sense apps. Over 10 apps were installed on my phone without my permission or without me asking or agreeing to anything. I did not expect this from Samsung phones, I know this is the case with most chinese phones such as Xiaomi but figures even Samsung comes with such Adwares. I wouldn't have bought this phone if I knew it was an Adware phone. You have been warned.",29,567,104,Negative,"Do not buy this Adware phone! This phone comes with a ton of garbage Apps pre Installed. Samsung appears to be partner with IronSource which is a mobile app advertising company and they will keep bugging you to install tons of non sense apps. Over 10 apps were installed on my phone without my permission or without me asking or agreeing to anything. I did not expect this from Samsung phones, I know this is the case with most chinese phones such as Xiaomi but figures even Samsung comes with such Adwares. I wouldn't have bought this phone if I knew it was an Adware phone. You have been warned.",not buy adware phone phone comes ton garbage apps pre installed samsung appears partner ironsource mobile app advertising company keep bugging install tons non sense apps apps installed phone without permission without asking agreeing anything not expect samsung phones know case chinese phones xiaomi figures even samsung comes adwares wouldnt bought phone knew adware phone warned,56
Best budget phone under 10k,5,I was looking for a budget phone but didn't want to exceed 10k mark. And eventually I came across this model which was under discount. It was for 9499 and just ordered it right away. I don't have to tell you guya about samsung. The processor is more than capable of handling day to day task with ease. The best part is its battery. It lasts 2 days easily. And the camera is good enough to take photos and selfies. It's a win win. Thanks amazon for the sweet deal.,27,463,90,Positive,Best budget phone under 10k I was looking for a budget phone but didn't want to exceed 10k mark. And eventually I came across this model which was under discount. It was for 9499 and just ordered it right away. I don't have to tell you guya about samsung. The processor is more than capable of handling day to day task with ease. The best part is its battery. It lasts 2 days easily. And the camera is good enough to take photos and selfies. It's a win win. Thanks amazon for the sweet deal.,best budget phone k looking budget phone didnt want exceed k mark eventually came across model discount ordered right away dont tell guya samsung processor capable handling day day task ease best part battery lasts days easily camera good enough take photos selfies win win thanks amazon sweet deal,49
"Good value for money - (12/12/21) - Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) - .",4,"16/12/21Re-review, after one week of usage, ( learning the product better). I recall my review on12/12/21.Good value for money.  After learning the product and it's  features, I find my choice is worth.I have no idea how the picture quality is coming different & good to first few pictures.I am happy with my purchase.Thanks.__________12/12/21 - not the value for money - Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage)Review is based on first three days use.Reason for this purchase - switching from MotoXForce, due to irreplaceable exhausted battery & incresed ROM need.Rating for Amazon as market place - 4/5. (good display of available options, window shopping, product information, product comparison, communication)Rating for product - Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage):One star out of Five - Utter poor camera quality - 48MP quad cam image quality is damn inferior than my previous 24MP MotoXforce image. So unimaginable from Samsung. I find Galaxy S3 images are so fine quality.Battery charging not as fast, as the listing claims.Battery life (6000mAh) - not in tune with expectation, ehausts sooner.Fingerprint reader -  not always recognising. (perhaps the narrow finger print sensor limitation)This is disappointing.I encourage you go for a better option than M12.Thanks.",88,1298,197,Positive,"Good value for money - (12/12/21) - Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) - . 16/12/21Re-review, after one week of usage, ( learning the product better). I recall my review on12/12/21.Good value for money.  After learning the product and it's  features, I find my choice is worth.I have no idea how the picture quality is coming different & good to first few pictures.I am happy with my purchase.Thanks.__________12/12/21 - not the value for money - Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage)Review is based on first three days use.Reason for this purchase - switching from MotoXForce, due to irreplaceable exhausted battery & incresed ROM need.Rating for Amazon as market place - 4/5. (good display of available options, window shopping, product information, product comparison, communication)Rating for product - Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage):One star out of Five - Utter poor camera quality - 48MP quad cam image quality is damn inferior than my previous 24MP MotoXforce image. So unimaginable from Samsung. I find Galaxy S3 images are so fine quality.Battery charging not as fast, as the listing claims.Battery life (6000mAh) - not in tune with expectation, ehausts sooner.Fingerprint reader -  not always recognising. (perhaps the narrow finger print sensor limitation)This is disappointing.I encourage you go for a better option than M12.Thanks.",good value money samsung galaxy bluegb ram gb storage rereview one week usage learning product better recall review ongood value money learning product features find choice worthi no idea picture quality coming different good first picturesi happy purchasethanks not value money samsung galaxy bluegb ram gb storagereview based first three days usereason purchase switching motoxforce due irreplaceable exhausted battery incresed rom needrating amazon market place good display available options window shopping product information product comparison communicationrating product samsung galaxy bluegb ram gb storageone star five utter poor camera quality mp quad cam image quality damn inferior previous mp motoxforce image unimaginable samsung find galaxy images fine qualitybattery charging not fast listing claimsbattery life mah not tune expectation ehausts soonerfingerprint reader not always recognising perhaps narrow finger print sensor limitationthis disappointingi encourage go better option mthanks,135
